2025年项目计划与安排表（9月）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,计划输出思路,项目类型,来源,任务发起时间,目标对齐,关键KR对齐,具体计划内容,邓总指导登记（日更新）,负责人,协助人,重要程度,预计完成时间,完成链接,总完成进度,落地管理打通情况,,复盘时间,对上汇报,应用情况,进度分析与总结,,,,,,,,
,,,,,,,,,,,,,,,周报,会议,,,,,,,,,,,,
, ,固定计划,日常管理与检查待解决,,部门日常管理与检查,日常检查待解决事项的综合记录与执行追踪表,"2025回国搬家日追踪数据
目标复盘执行计划表",,赖铁荔,赖铁荔,5,,2024年回国搬家目标管理,,FALSE,FALSE,,,,,,,,,,,,
,,,人力资源管理,,人力资源管理,人力资源6大模块落地计划表,月度人力资源管理工作计划（仓库与回国）,,赖铁荔,赖铁荔,5,,月度人力资源管理工作计划,,FALSE,FALSE,,,,,,,,,,,,
,,,人力资源管理,,员工关系,问责标准与管理机制更新,"回国部门资源管理规范（2024年6月）
回国部门问责机制",,赖铁荔,赖铁荔,5,,回国部门资源管理规范（2024年6月）,,FALSE,FALSE,,,,,,,,,,,,
1,,,总经理交办,2025/9/8,部门管理,部门管理,"人员配置：
需从大局出发考虑部门实际情况，和资源情况，合理配置人员。
1、人员配置评估新人是否可做快递+行李；
2、明燕一边接出国和回国，先按此走两周；同步关注新人-周俊明的情况，二者选其一。
理想编制：
梅英+海云+明燕=2个人，周俊明快递+行李等于半个人，合计2.5人",,赖铁荔,赖铁荔,0,2025/9/22,,,,,,,,,,,,,,,,
1,,,总经理交办,2025/9/8,部门管理,,"回国会议
1、形成固定的机制每周三与周五召开两次；
2、复盘内容重新设定，找寻成交的重点KR与会议内容调整；",,赖铁荔,赖铁荔,0,2025/9/9,已在开展，因为时间分配问题，周三与周五两次小会,,,,,,,,,,,,,,,
1,,,总经理交办,2025/9/8,部门管理,,"徐梅英回岗前置化工作安排
1、回岗前部门将前期需要将回国调整部分前期的资料发送；
2、提前了解回国的业务调整部分，回岗后可快速进入工作状态；",,赖铁荔,赖铁荔,0,2025/9/9,此事项有延误，周一进行；,,,,,,,,,,,,,,,
1,,项目管理,目标复盘待解决,2025/8/31,成交板块,渠道与定价,"渠道管理
1、澳洲：墨尔本，悉尼华人渠道开发；
2、美国：洛杉矶华人渠道开发；
3、新加坡：华人渠道重新开发；","5月13日
1、回国渠道开发设定每个国家区域的目标，按照结果为导向的开展渠道开发；
2、找出国的开发到的有效渠道开发回国的业务，看是否成立，优化表单；",赖铁荔,,0,2025/9/26,华人代理渠道总表,,,,,,,,,,,,,,,
2,,项目管理,目标复盘待解决,2025/8/31,成交板块,,"基础报价利润率
1、回国搬家与行李区分，毛利润问题复盘月度复盘；
2、当下问题：
A、基恩的报价利润率
B、保险购买利润率；
C、体积增减利润率
同行调查：
A、线上三家（谷歌等部分的推广公司）
B、小红书三家（小红书排班前三的公司）
C、本土三家（各区域当地搬家出国的公司）
对应的搬家3家开展对比为后续定价与价格体系做基础的支撑；
",,赖铁荔,赖铁荔,0,2025/9/9,2025回国部门的总价格设定,,,,,,,,,,,,,,,
3,,项目管理,目标复盘待解决,2025/8/31,部门管理,风险管理,"1、接单风险设定；
2、流程风险设定（费用收取时间点，物品识别过程管控与标准）
3、物品安全设定，破损与丢失等；",,赖铁荔,赖铁荔,0,2025/9/17,,,,,,,,,,,,,,,,
4,,项目管理,目标复盘待解决,2025/8/31,部门管理,流程打通,"1、按照回国业务象限梳理整套流程从咨询到售中售后板块岗位对接；
2、然后对系统进行优化，提升销售人员的效率流程问题；",,赖铁荔,赖铁荔,0,2025/9/18,回国业务SOP,,FALSE,FALSE,,,,,,,,,,,,
5,,项目管理,目标复盘待解决,2025/8/31,部门管理,,"售中流程：
1、收款销售录入问题（定金的录入；）
2、清关资料索取销售自行进行；
3、账单的制作例程繁琐，需要简化；
4、清单制作5个工作日；
5、派送安排系统化操作；",,赖铁荔,赖铁荔,0,2025/9/18,,,FALSE,FALSE,,,,,,,,,,,,
6,,目标管理,总经理交办,2025/8/31,部门管理,成交管理,"1、回国的成交管理与KR设定调整，从挖需求，解疑惑，抛方案，促成交四个维度，具体梳理出来；（这里需要注重帮扶）
2、回国的技能体系框架搭建与建立，补充相关内容，迭代原有策略；
3、月度计划需要与成交KR对齐，重新根据轻重缓急设定；",,赖铁荔,赖铁荔,0,2025/9/19,,,,,,,,,,,,,,,,
7,,目标管理,总经理交办,2025/8/29,部门管理,,"技能管理
1、日常工作的开展KR的建立与应用；
2、客户识别，体积技能，评估技能，",,赖铁荔,蔡文骞,0,2025/9/15,,,FALSE,FALSE,,,,,,,,,,,,
8,,目标管理,总经理交办,2025/6/26,利润板块,利润管理,增减体积设定递减式排序，增加越多单价越低的方式；,,赖铁荔,赖铁荔,0,2025/9/18,,,FALSE,FALSE,,,,,,,,,,,,
9,,目标管理,总经理交办,2025/6/26,利润板块,,海运费可以找邱雯找国内拼箱公司，包括回国的整柜，找代理提供订舱与运输服务；（国外服务费，海运费，国内费用）三个模块解决，海运费是大头需要解决；在开展的过程中如有源头可直接对庄家走货；,,赖铁荔,,0,2025/9/25,,,FALSE,FALSE,,,,,,,,,,,,
10,,目标管理,目标复盘待解决,2025/8/1,利润板块,,"保险推荐策略优化
1.保险案例整理（投保后处理案例与未投保案例指导）
2.保险推荐技能应用",,赖铁荔,赖铁荔,0,2025/9/25,,,FALSE,FALSE,,,,,,,,,,,,
11,,目标管理,目标复盘待解决,2025/8/1,成交板块,回国行李,重新优化渠道的最新合作价；,,赖铁荔,蔡文骞,0,2025/9/15,,,FALSE,FALSE,,,,,,,,,,,,
12,,目标管理,目标复盘待解决,2025/8/8,成交板块,,"2、对于回国行李的流程需要重新梳理，每个代理的不同对接流程，可简化优化的部分（嘉雯可以梳理流程与晓斯先做流程对接规范）避免岗位职责区分界定不清晰；
3、对于服务方式的流程需要对每个区域的代理进行梳理，美国不送箱，澳洲送箱与不送箱套用一个全流程的模型之后不送箱的与不同服务方式做简化，客户可清晰化的指导流程；
",,赖铁荔,蔡文骞,0,2025/9/23,,,,,,,,,,,,,,,,
13,,目标管理,目标复盘待解决,2025/8/23,成交板块,意向转化,自动邮件发送异常，需要技术部解决自动邮件发送的设置；,,赖铁荔,赖铁荔,,2025/9/23,,,,,,,,,,,,,,,,
14,,目标管理,目标复盘待解决,2025/8/31,成交板块,,回国转化邮件的提升与调整优化；,,赖铁荔,赖铁荔,,2025/9/20,,,,,,,,,,,,,,,,
,,,总经理交办,2025/9/8,部门管理,异常订单,回国异常订单参考出国品管的【异常订单管理】执行单，把流程做规范，后续按照出国的方式走在线走起来；,,赖铁荔,赖铁荔,,2025/9/9,回国异常订单管理,,,,,,,,,,,,,,,
17,,目标管理,总经理交办,2025/8/18,转化板块,,目前国外仓储的费用，找代理沟通优惠，找邱雯协助与国外代理沟通仓库费用的计算折扣；,,赖铁荔,赖铁荔,,2025/9/16,目前代理优惠350美金，继续进行，中间有向邓总反馈；,50%,,,,,,,,,,,,,,
18,,目标管理,总经理交办,2025/8/18,转化板块,,因为个人的管理问题，给公司与各股东一个交代与说明解决措施，再此之前先和邓总同步,,赖铁荔,赖铁荔,,2025/9/18,先建此单最总结果锁定之后再做反馈；,0%,,,2025/9/6,尚未汇报,已对接下一步计划,我需要先算清楚总费用，然后在做汇报；目前在开展中没结果不能先汇报,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
